partition_path,partition_id,status,size_file_a_bytes,size_file_b_bytes,size_diff_bytes,sha256_file_a,sha256_file_b
Partitions/988,988,IDENTICAL,2298657,2298657,0,63aeece1be846f2a107b0cc1b6d66ae8667dc92d34df959bc03ceb75dc958d5c,63aeece1be846f2a107b0cc1b6d66ae8667dc92d34df959bc03ceb75dc958d5c
Partitions/990,990,IDENTICAL,124357,124357,0,19dcd0b65dc61f6e23c2e22d1f7c7711e70723a9e0f30fad3c84da48873fa4a8,19dcd0b65dc61f6e23c2e22d1f7c7711e70723a9e0f30fad3c84da48873fa4a8
BasicFileInfo,,MODIFIED,2267,2223,-44,108ec69f65c018d9627cc6f239d31fa7b0332e21606ec3e9fae1cb1526741854,021746643ba6a6ad6f1cafd4ee16cd496d14f36d99b12171642b2795d96404dc
Contents,,MODIFIED,283,283,+0,576a01c64b640b0038aa62cc8c07b1640f0f276e70372eec1684bf9bc8be13d6,b5461a70545d5c1b00af45ca25b200c44c95aa9264870928aea4f6938d013059
Global/DocumentIncrementTable,,MODIFIED,160948,160948,+0,11fec96f71e1f2f754c7eb2156586be28a0b253b3795959eb18f17bd70371259,2e57fb3524e70637490e37ead421ee0afece3b4dfcfe5882898270c96496bdf4
Global/ElemTable,,MODIFIED,188582,188582,+0,f50b6533d33c6712aaa4d1c9665bd9f8e9995000c559dacfe5f099c3815bc230,44ef838db67274e26c5aaf295e7e7e0fa244510976b8297ec8c35c5eed7c73a1
Global/History,,MODIFIED,43243,43243,+0,bfc5873ef81af6b752f4a322266f07c2d892239c5de110c36e4b1a2ecffdcd1e,00589760efb0dcd11668dfdbd614a314839284e335997ee93884cdae79d6dd73
Global/Latest,,MODIFIED,143279,143263,-16,9a45b628cfda0fd859d05f0389dde2880e2bae916c3943330a2195fb1b322c02,d33eb0cd9c3d4f8ca366d3d731ad801094ead104cb8922485af1d13696c525fd
Partitions/2145,2145,MODIFIED,959,45290,+44331,4280b143f433f84851b8c8d129d76a0eac884e8ca86cd8675a9b40180ede213f,7111b7ec2c6b540791d3897e717bf968c0161299f34f3ac16c4667ecc24fc784
Partitions/2152,2152,MODIFIED,39661,3222533,+3182872,cccb8ce50e27975146cc571c99b9663398bed20107ec04a15e46c5442c1cbcc9,29af0230e847402a00fc69b18c5b905205cc48b7c7a462608f10ef9d6b5b297d
ProjectInformation,,MODIFIED,967,968,+1,6830049bd0d72228a9273df746e9c7b9c00dcc16b69b2f16eb52e97acaf9fbcb,ea8cf44499013255d19909c8a7e159f51562cd0f451f8461f7fd0fa8d7a45944
RevitPreview4.0,,MODIFIED,6278,3032,-3246,0b7dfa83bf8e015b24084c7a03e0f2df558b1e390589352b12a44911d34091c4,8e0875eabf76e598e49b50c8c7b537b80d9fd5d44831507b47b8964d52a7b981
TransmissionData,,MODIFIED,14288,14102,-186,fe42773337af0bfaf2d6e73cefa794ef009646e2cbd2f9012ba578dab13d9daa,67a148e2d80795a96a105e2e57439aa0383ff3ce6ba41d63f125cc0d8308668e
